proofStudy,sport,externalListingId,marketplace,cardIdentity,listingUrl,itemPrice,shipping,buyerPremium,tax,seller,listingFormat,endsAt
FF_25_CARD_PROOF_V1,MLB,,EBAY,2018 Topps Chrome #150 Shohei Ohtani PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,MLB,,EBAY,2022 Topps Update #US44 Julio Rodriguez PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,MLB,,EBAY,2022 Topps Chrome Update #USC35 Bobby Witt Jr. PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,MLB,,EBAY,2024 Topps Update #US288 Paul Skenes PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,MLB,,EBAY,2024 Topps Chrome Update #USC30 Jackson Chourio PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,MLB,,EBAY,2024 Topps Chrome Update #USC57 Jackson Merrill X-Fractor PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,MLB,,EBAY,2022 Topps Update #US44 Julio Rodriguez SSP PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,NFL,,EBAY,2018 Panini Prizm #205 Josh Allen PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,NFL,,EBAY,2024 Panini Prizm #347 Jayden Daniels PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,NFL,,EBAY,2024 Panini Prizm #301 Caleb Williams PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,NFL,,EBAY,2024 Panini Prizm #329 Drake Maye PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,NFL,,EBAY,2024 Panini Prizm #309 Bo Nix PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,NFL,,EBAY,2024 Panini Prizm #347 Jayden Daniels Silver Prizm PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,NBA,,EBAY,2023 Panini Prizm #136 Victor Wembanyama PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,NBA,,EBAY,2020 Panini Prizm #258 Anthony Edwards PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,NBA,,EBAY,2022 Panini Prizm #249 Paolo Banchero PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,NBA,,EBAY,2018 Panini Prizm #280 Luka Doncic Silver Prizm PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,NBA,,EBAY,2022 Panini Prizm #266 Chet Holmgren Red Ice PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,NBA,,EBAY,2023 Panini Prizm #152 Brandon Miller Red Prizm PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,NHL,,EBAY,2023 Upper Deck #451 Connor Bedard PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,NHL,,EBAY,2024 Upper Deck #451 Macklin Celebrini PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,NHL,,EBAY,2024 Upper Deck #492 Matvei Michkov PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,NHL,,EBAY,2019 Upper Deck #493 Cale Makar PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,NHL,,EBAY,2019 Upper Deck #201 Jack Hughes PSA 10,,,0,0,0,,,
FF_25_CARD_PROOF_V1,NHL,,EBAY,2023 Upper Deck #451 Connor Bedard Clear Cut PSA 10,,,0,0,0,,,
